id,serial_key,serial_image,product_id,activation_limit,order_id,activation_email,status,validity,expire_date,order_date,created
31001,ZZWQH-RPRVN-EUCJU-VWPOC,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31002,YTIPJ-UOWAR-SASZJ-JWQQE,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31003,ZRQPH-DQXZU-QWMJR-ZVQNL,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31004,DHATJ-HOWFX-IDIVM-XSCDA,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31005,SEXYD-CJWKR-VGYHM-NGLOR,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31006,VOEDJ-VENPB-MXPVJ-GRVQH,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31007,DVDOA-BSQCR-WYDLK-ITQDP,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31008,BHMPH-INFKC-LAQGA-WGSZK,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31009,YDSJY-EOVVM-SRWBT-LXFXB,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31010,IFGBH-GKKHS-EAOKZ-ODRNZ,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31011,YONTI-GQUZW-KBCGU-HQNSM,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31012,VOAOL-ANSTA-TIGFJ-UDKAJ,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31013,XJIIE-INMFV-LLSRM-MDWZZ,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31014,BTGWK-FFDGV-JWGNX-DXURJ,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31015,UVRWF-IIMGI-VQBAQ-SHWOB,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31016,TWLXM-LBAGU-GNBSL-SHAMY,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31017,XETXD-PVEID-TDIVA-MLFUC,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31018,FBOVH-PMXCX-GBEKI-WHJSC,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31019,TLGGM-NBIAT-MIKKT-BDVLQ,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31020,TUFGE-AFTWC-NNCYV-CUKXU,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31021,JXYXC-RWAQR-UIIRT-FVNNG,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31022,SFEBM-PHFUQ-CVYTW-LAGZQ,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31023,VBYTL-ZXIBZ-PWRXN-VVFEX,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31024,FDMOE-ACTUR-YFYKJ-HMGZQ,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31025,AUMCW-XLLTC-WQPXN-UMNFA,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31026,NYVCF-CSLQB-COLFK-HCCWF,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31027,GATPS-EXFRQ-VYPQW-ZQDCV,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31028,PHHBF-XGKOY-FLMBQ-ZIOKL,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31029,TXXTW-ZQLKP-UKMET-FHPEU,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31030,PKAPX-BKTJB-KHFHE-JVBMI,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
31031,BHWMN-TXCJN-ISQBP-JNMWW,,7213,0,0,,new,365,0000-00-00 00:00:00,0000-00-00 00:00:00,01/01/2020 11:30
